Country,Life Expectancy,Adult Mortality,Infant Deaths,Population,Life Expectancy at Birth,Infant Mortality Rate,Medical Doctors,Under-5 Mortality Rate,GDP (billions of US$),GDP per Capita (US$),Current Health Expenditure (% of GDP),Death by Meningitis,Death by Neoplasms,'Death by Fire, Heat, and Hot Substances',Death by Malaria,Death by Drowning,Death by Interpersonal Violence,Death by HIV/AIDS,Death by Drug Use,Death by Tuberculosis,Death by Road Injuries,Death by Maternal Disorders,Death by Lower Respiratory Infections,Death by Neonatal Disorders,Death by Alcohol Use,Death by Forces of Nature,Death by Diarrheal Diseases
China,76.1,85,157,137122,76.64,9.19 [8.64-9.8],17.73,10.71 [10.07-11.4],11113.508,12926.23,4.94,7553,2414868,10738,0,61489,13512,26060,8872,41987,268987,2341,175523,66013,19893,551,6078
Colombia,74.8,143,10,48228697,78.35,13.44 [10.66-16.75],19.74,15.62 [12.39-19.58],293.493,13611.455,7.52,402,43656,192,133,1055,15181,2641,109,941,7557,689,7406,5250,112,180,848
Comoros,63.5,227,1,777424,66.45,54.08 [31.8-96.49],,71.88 [39.12-138.7],0.966,2684.323,4.6,81,506,17,13,17,69,1,1,355,150,32,491,451,5,0,327
CostaRica,79.6,95,1,487852
Croatia,78,95,0,42364,77.58,4.2 [4.01-4.39],31.73,4.93 [4.72-5.16],50.163,23305.365,6.79,18,14693,41,0,87,45,11,69,56,402,2,513,81,270,1,32
Cyprus,85,52,0,116985,82.01,2.22 [1.94-2.54],26.24,2.75 [2.4-3.14],19.844,31847.99,6.75,3,2084,8,0,24,21,5,15,4,128,0,151,26,9,0,19
Denmark,86,71,0,5683483,80.59,3.49 [3.33-3.67],39.26,4.09 [3.9-4.29],302.673,49264.513,10.23,29,17459,72,0,30,42,29,192,27,264,1,2313,121,794,0,382
Djibouti,63.5,241,1,927414,64.64,54.25 [37.9-75.3],,65.32 [44.01-94.41],2.445,4603.052,3.08,115,604,25,144,27,103,1022,2,448,145,133,620,727,10,0,336
DominicanRepublic,73.9,152,6,1528394
Ecuador,76.2,118,6,16144368,77.18,12.99 [12.32-13.68],20.65,15.1 [14.32-15.91],99.29,11014.886,7.49,119,15717,180,1,575,1947,1187,54,718,4551,262,5176,2449,318,45,476
ElSalvador,73.5,178,2,6312478
EquatorialGuinea,58.2,32,3,1175389
Estonia,77.6,119,0,131547,77.6,2.46 [2.26-2.68],34.15,3.15 [2.89-3.43],22.893,29183.777,6.35,6,3774,55,0,44,54,43,109,26,85,0,221,14,208,0,3
Ethiopia,64.8,225,136,9987333,66.82,43.14 [39.14-47.61],,62.23 [55.23-70.2],63.081,1861.838,3.82,12464,34455,2086,10213,1877,6616,33726,170,33648,8664,7747,50198,87177,567,0,56335
Fiji,69.9,188,0,892149,67.83,20.58 [19.51-21.68],8.6,24.31 [22.96-25.7],4.682,12400.559,3.22,14,744,26,0,61,37,10,3,43,89,16,211,166,2,0,115
Finland,81.1,76,0,5479531,81.21,2.03 [1.92-2.15],33.31,2.49 [2.35-2.63],234.558,42569.551,9.65,16,13634,71,0,108,86,6,264,52,262,2,607,42,571,0,45
France,82.4,78,2,6662468,81.91,3.47 [3.39-3.54],32.24,4.12 [4.03-4.21],2438.208,42289.109,11.45,232,188774,649,0,1013,551,490,1699,1001,4205,47,20301,1382,3664,25,1321
Gabon,66,229,2,193175,64.93,35.78 [26.84-46.51],,49.83 [35.3-68.94],14.385,14834.214,2.66,92,1261,29,843,27,74,1294,9,529,507,88,686,595,18,0,318
Georgia,74.4,129,1,37171,72.58,9.36 [8.76-9.99],50.06,10.52 [9.84-11.22],14.953,12100.141,7.42,26,8523,126,0,90,142,55,17,177,804,23,873,388,42,6,19
Germany,81,68,2,81686611,80.42,3.3 [3.24-3.36],41.34,3.93 [3.85-4],3357.926,47622.332,11.18,223,260050,684,0,477,622,511,1505,443,4337,33,23674,1255,6320,7,4654
Ghana,62.4,249,37,27582821,64.55,38.75 [35.28-42.46],,54.56 [48.55-61.02],49.437,5232.689,4.62,3867,15954,762,24337,599,811,17114,46,11997,5620,1533,16877,17400,209,25,7779
Greece,81,72,0,182883,80.38,3.88 [3.71-4.06],52.53,4.4 [4.22-4.61],195.703,26676.002,8.07,29,33165,99,0,382,124,47,194,129,1250,5,5300,182,43,7,43
Guatemala,71.9,186,10,16252429,70.95,23.68 [20.5-27.35],,28.28 [24.2-33.08],62.18,7849.062,6.01,250,11211,169,1,401,5384,570,188,424,2565,523,9239,3169,1502,7,3028
Guinea,59,284,26,1291533,58.81,68.72 [61.74-76.87],0.86,107.9 [95.42-122.5],8.79,1684.808,5.81,3547,8143,405,12822,558,903,4363,15,5007,2280,2324,14908,11074,79,16,7531
Guinea-Bissau,58.9,275,4,177526,58.23,59.23 [44.32-77.47],2.04,90.68 [64.32-123.1],1.153,1873.62,8.13,314,900,50,393,66,175,1219,3,776,484,169,1218,1732,14,0,1512
Guyana,66.2,215,0,768514,65.59,27.37 [19.62-37.93],,33.1 [23.09-47.77],4.28,11204.623,4.02,6,722,17,32,69,176,193,2,68,152,24,258,214,25,0,63
Haiti,63.5,24,14,171161,62.61,53.21 [46.13-62.39],0.85,70.51 [59.7-84.95],14.831,2841.174,5.07,1205,9507,532,407,1472,3329,8082,35,1351,1315,1705,6684,6052,345,11,4629
Honduras,74.6,147,3,896829,69.82,16.49 [12.66-21.2],,19.27 [14.71-25.09],20.98,4823.389,7.48,108,6879,43,2,217,8119,82,86,529,1066,247,1100,1865,350,0,1291
Hungary,75.8,134,0,984328,75.57,4.27 [4.1-4.45],31.18,5.12 [4.91-5.34],125.074,26749.404,6.86,62,34557,139,0,144,166,34,49,71,840,13,1155,207,496,0,364
Iceland,82.7,49,0,33815,82.14,1.76 [1.49-2.08],37.83,2.23 [1.89-2.63],17.517,49470.734,8.07,1,605,2,0,3,2,1,11,1,11,0,89,4,8,0,5
India,68.3,181,910,1395398,69.31,34.94 [33.19-36.73],,43.52 [41.06-46.04],2103.588,5464.858,3.6,45025,801613,24094,50605,56352,38837,66792,6986,445845,201060,44105,463048,559843,20753,1152,674059
Indonesia,69.1,176,114,258162113,70.61,23.29 [20.97-25.99],2.74,27.77 [24.81-31.28],860.741,10359.28,2.92,6946,202962,1529,979,5630,2311,5316,542,83909,36868,6520,46032,48419,617,54,64578
Iraq,68.9,182,32,36115649,70.29,24.65 [20.87-28.98],,29.52 [24.68-35.25],177.634,10493.948,3.14,613,20714,1003,0,957,4985,84,545,1059,5930,437,3497,9732,51,58,836
Ireland,81.4,64,0,4676835,81.14,3.18 [3.04-3.34],31.5,3.71 [3.54-3.89],291.611,68872.135,7.32,11,9537,32,0,50,30,10,180,27,160,2,1475,95,89,2,54
Israel,82.5,58,0,8381,81.93,3.16 [3.07-3.25],34.62,3.92 [3.81-4.04],300.078,35482.434,7.1,28,13222,47,0,47,180,46,49,23,593,8,1615,255,56,0,373
